HK,Residual,Psipred,CA
73.04,79.29,78.69,
73.08,79.35,78.7,
73.09,79.37,78.71,
73.12,79.43,78.72,
73.13,79.44,78.72,
73.14,79.45,78.72,
73.15,79.46,78.72,
73.16,79.49,78.76,
73.19,79.49,78.76,
73.27,79.5,78.76,
73.28,79.5,78.76,
73.3,79.52,78.77,
73.41,79.56,78.78,
73.42,79.71,78.79,
73.46,79.71,78.79,
73.48,79.85,78.8,
73.5,79.87,78.8,
73.54,79.87,78.8,
73.55,79.9,78.8,
73.57,79.92,78.81,
73.58,79.93,78.82,
73.58,79.98,78.83,
73.6,80.01,78.83,
73.67,80.01,78.84,
73.7,80.02,78.84,
73.71,80.02,78.85,
73.76,80.03,78.85,
73.8,80.08,78.85,
73.91,80.11,78.86,
73.94,80.12,78.87,
73.95,80.15,78.9,
73.96,80.15,78.91,
73.96,80.18,78.93,
74.01,80.23,78.93,
74.01,80.23,78.93,
74.08,80.25,78.95,
74.1,80.28,78.96,
74.1,80.28,78.97,
74.12,80.37,78.97,
74.17,80.37,78.97,
74.19,80.38,78.98,
74.27,80.4,78.99,
74.27,80.41,78.99,
74.29,80.41,78.99,
74.3,80.41,79,
74.36,80.42,79,
74.38,80.42,79.03,
74.38,80.45,79.03,
74.43,80.53,79.03,
74.45,80.53,79.03,
74.47,80.56,79.03,
74.49,80.58,79.04,
74.62,80.6,79.05,
74.65,80.61,79.05,
74.69,80.62,79.06,
74.69,80.8,79.06,
74.7,80.82,79.07,
74.74,80.86,79.08,
74.82,80.87,79.08,
74.83,80.95,79.09,
74.87,80.96,79.09,
74.89,80.96,79.1,
74.91,80.96,79.1,
74.97,80.96,79.11,
75.06,80.99,79.11,
75.06,81.01,79.11,
75.07,81.03,79.12,
75.09,81.05,79.12,
75.1,81.05,79.13,
75.12,81.06,79.13,
75.15,81.07,79.15,
75.15,81.08,79.15,
75.16,81.16,79.15,
75.17,81.18,79.16,
75.24,81.2,79.17,
75.26,81.23,79.17,
75.33,81.25,79.17,
75.34,81.3,79.18,
75.34,81.33,79.19,
75.36,81.35,79.19,
75.36,81.36,79.19,
75.39,81.37,79.2,
75.41,81.47,79.2,
75.45,81.5,79.2,
75.45,81.52,79.2,
75.46,81.52,79.21,
75.53,81.53,79.23,
75.54,81.57,79.23,
75.6,81.59,79.24,
75.61,81.62,79.25,
75.62,81.66,79.26,
75.68,81.68,79.26,
75.71,81.69,79.27,
75.73,81.7,79.27,
75.8,81.72,79.28,
75.81,81.74,79.28,
75.81,81.76,79.29,
75.87,81.76,79.29,
75.94,81.77,79.29,
75.98,81.8,79.3,
76.07,81.81,79.31,
76.09,81.85,79.31,
76.11,81.85,79.31,
76.11,81.85,79.31,
76.15,81.86,79.33,
76.16,81.88,79.33,
76.25,81.88,79.33,
76.25,81.89,79.34,
76.27,81.93,79.34,
76.29,81.97,79.35,
76.29,81.98,79.37,
76.33,81.98,79.37,
76.35,82.03,79.38,
76.4,82.1,79.38,
76.4,82.11,79.39,
76.41,82.14,79.39,
76.43,82.18,79.39,
76.43,82.23,79.41,
76.44,82.25,79.42,
76.49,82.25,79.42,
76.52,82.28,79.45,
76.55,82.3,79.45,
76.55,82.31,79.46,
76.66,82.32,79.46,
76.68,82.33,79.46,
76.68,82.36,79.47,
76.73,82.37,79.47,
76.91,82.58,79.48,
76.92,82.59,79.48,
76.98,82.62,79.5,
76.98,82.64,79.51,
76.99,82.65,79.51,
77.01,82.72,79.51,
77.01,82.76,79.51,
77.01,82.78,79.52,
77.13,82.87,79.53,
77.2,82.88,79.54,
77.24,82.88,79.54,
77.34,82.95,79.55,
77.43,82.96,79.55,
77.43,83.01,79.55,
77.49,83.04,79.56,
77.56,83.24,79.57,
77.58,83.24,79.58,
77.69,83.29,79.6,
77.72,83.3,79.61,
77.75,83.31,79.61,
77.83,83.32,79.62,
77.91,83.33,79.64,
77.93,83.33,79.65,
77.94,83.35,79.65,
77.96,83.4,79.65,
78.07,83.44,79.65,
78.1,83.48,79.66,
78.11,83.51,79.66,
78.13,83.56,79.68,
78.2,83.56,79.68,
78.2,83.58,79.69,
78.2,83.64,79.69,
78.28,83.74,79.69,
78.3,83.75,79.7,
78.3,83.83,79.7,
78.32,83.94,79.72,
78.35,83.97,79.72,
78.51,84.09,79.72,
78.6,84.13,79.72,
78.66,84.17,79.72,
78.67,84.2,79.72,
78.7,84.2,79.72,
78.78,84.21,79.73,
78.8,84.24,79.73,
78.83,84.29,79.74,
78.83,84.33,79.74,
78.88,84.37,79.76,
78.93,84.47,79.76,
78.98,84.61,79.76,
79,84.61,79.76,
79.1,84.64,79.76,
79.15,84.69,79.77,
79.37,84.71,79.78,
79.43,84.82,79.78,
79.44,84.87,79.78,
79.47,84.87,79.78,
79.5,84.88,79.79,
79.51,84.92,79.8,
79.52,84.93,79.8,
79.55,85.02,79.8,
79.55,85.03,79.81,
79.6,85.07,79.81,
79.79,85.09,79.81,
79.83,85.11,79.82,
79.89,85.15,79.83,
79.95,85.16,79.84,
80,85.17,79.84,
80.02,85.25,79.85,
80.07,85.31,79.86,
80.07,85.31,79.87,
80.13,85.35,79.88,
80.15,85.6,79.88,
80.16,85.76,79.91,
80.2,85.79,79.92,
80.31,85.96,79.92,
80.34,85.98,79.93,
80.39,86,79.93,
80.58,86.01,79.95,
80.77,86.04,79.95,
80.92,86.07,79.96,
80.92,86.19,79.96,
80.99,86.33,79.96,
81.23,86.33,79.97,
81.28,86.4,79.97,
81.48,86.43,79.97,
81.52,86.51,79.98,
81.61,86.54,79.98,
81.76,86.61,79.98,
81.77,86.62,79.98,
81.87,86.65,79.99,
82.05,86.67,79.99,
82.08,86.76,79.99,
82.16,86.84,79.99,
82.26,86.85,80,
82.43,86.91,80.01,
82.44,86.93,80.02,
82.46,86.97,80.02,
82.56,86.98,80.04,
82.56,87.09,80.07,
82.61,87.12,80.07,
82.61,87.29,80.08,
82.63,87.35,80.08,
82.66,87.48,80.08,
82.72,87.51,80.1,
82.83,87.54,80.1,
82.85,87.64,80.11,
82.94,87.68,80.12,
82.98,87.69,80.12,
83.03,87.75,80.12,
83.04,87.8,80.12,
83.1,87.82,80.12,
83.18,87.96,80.12,
83.22,87.97,80.13,
83.27,88,80.13,
83.29,88.08,80.13,
83.31,88.09,80.13,
83.31,88.18,80.14,
83.4,88.22,80.14,
83.42,88.35,80.14,
83.42,88.39,80.15,
83.66,88.53,80.17,
83.83,88.59,80.17,
83.99,88.62,80.18,
84,88.75,80.18,
84.2,88.83,80.18,
84.24,88.93,80.2,
84.24,88.95,80.2,
84.27,89.09,80.2,
84.31,89.14,80.2,
84.36,89.17,80.21,
84.42,89.34,80.21,
84.46,89.46,80.23,
84.71,89.68,80.24,
84.74,89.79,80.24,
84.78,90.05,80.24,
84.84,90.51,80.24,
85.02,90.52,80.24,
85.02,90.73,80.25,
85.09,90.74,80.26,
85.23,90.82,80.26,
86.15,90.99,80.26,
86.23,91.02,80.26,
86.37,91.21,80.26,
86.38,91.29,80.27,
87.32,91.32,80.27,
87.39,91.33,80.28,
87.39,91.53,80.29,
87.65,91.97,80.3,
87.71,92.1,80.31,
88.11,92.2,80.31,
88.28,92.27,80.31,
88.58,92.33,80.32,
89.65,92.57,80.32,
89.88,92.66,80.32,
90.09,92.77,80.33,
90.3,93.13,80.35,
90.3,93.42,80.35,
90.36,93.54,80.37,
90.54,93.96,80.37,
90.76,94,80.37,
91,94.11,80.37,
91.03,94.46,80.38,
91.33,94.73,80.38,
91.36,94.96,80.38,
91.38,95.18,80.38,
91.66,96.31,80.39,
91.93,97.17,80.39,
92.6,98.53,80.4,
,,80.4,
,,80.41,
,,80.41,
,,80.42,
,,80.43,
,,80.44,
,,80.44,
,,80.45,
,,80.45,
,,80.46,
,,80.46,
,,80.47,
,,80.47,
,,80.47,
,,80.48,
,,80.48,
,,80.49,
,,80.49,
,,80.49,
,,80.5,
,,80.5,
,,80.51,
,,80.51,
,,80.52,
,,80.53,
,,80.53,
,,80.54,
,,80.54,
,,80.54,
,,80.56,
,,80.57,
,,80.58,
,,80.58,
,,80.58,
,,80.58,
,,80.59,
,,80.59,
,,80.6,
,,80.6,
,,80.61,
,,80.63,
,,80.64,
,,80.64,
,,80.66,
,,80.66,
,,80.66,
,,80.67,
,,80.68,
,,80.69,
,,80.69,
,,80.69,
,,80.7,
,,80.72,
,,80.72,
,,80.72,
,,80.74,
,,80.74,
,,80.74,
,,80.76,
,,80.76,
,,80.77,
,,80.77,
,,80.78,
,,80.78,
,,80.78,
,,80.78,
,,80.79,
,,80.79,
,,80.79,
,,80.8,
,,80.8,
,,80.8,
,,80.8,
,,80.8,
,,80.81,
,,80.81,
,,80.81,
,,80.82,
,,80.82,
,,80.82,
,,80.82,
,,80.82,
,,80.83,
,,80.83,
,,80.85,
,,80.85,
,,80.85,
,,80.85,
,,80.85,
,,80.86,
,,80.87,
,,80.87,
,,80.88,
,,80.88,
,,80.89,
,,80.89,
,,80.9,
,,80.9,
,,80.91,
,,80.91,
,,80.91,
,,80.92,
,,80.92,
,,80.92,
,,80.93,
,,80.93,
,,80.93,
,,80.93,
,,80.93,
,,80.94,
,,80.94,
,,80.94,
,,80.95,
,,80.95,
,,80.96,
,,80.97,
,,80.98,
,,80.98,
,,80.98,
,,80.98,
,,80.98,
,,80.98,
,,80.98,
,,80.99,
,,80.99,
,,80.99,
,,81,
,,81,
,,81.01,
,,81.01,
,,81.01,
,,81.01,
,,81.02,
,,81.03,
,,81.04,
,,81.04,
,,81.04,
,,81.05,
,,81.06,
,,81.07,
,,81.07,
,,81.07,
,,81.08,
,,81.1,
,,81.1,
,,81.1,
,,81.1,
,,81.11,
,,81.11,
,,81.12,
,,81.12,
,,81.13,
,,81.13,
,,81.14,
,,81.14,
,,81.14,
,,81.15,
,,81.15,
,,81.15,
,,81.15,
,,81.16,
,,81.16,
,,81.18,
,,81.19,
,,81.19,
,,81.19,
,,81.2,
,,81.21,
,,81.21,
,,81.21,
,,81.21,
,,81.22,
,,81.22,
,,81.22,
,,81.23,
,,81.23,
,,81.24,
,,81.24,
,,81.25,
,,81.25,
,,81.25,
,,81.26,
,,81.26,
,,81.26,
,,81.26,
,,81.26,
,,81.27,
,,81.28,
,,81.28,
,,81.28,
,,81.28,
,,81.28,
,,81.29,
,,81.29,
,,81.29,
,,81.3,
,,81.31,
,,81.31,
,,81.31,
,,81.33,
,,81.33,
,,81.33,
,,81.33,
,,81.34,
,,81.34,
,,81.34,
,,81.35,
,,81.36,
,,81.36,
,,81.37,
,,81.37,
,,81.37,
,,81.37,
,,81.37,
,,81.37,
,,81.38,
,,81.38,
,,81.39,
,,81.39,
,,81.39,
,,81.39,
,,81.39,
,,81.4,
,,81.41,
,,81.41,
,,81.42,
,,81.42,
,,81.42,
,,81.42,
,,81.43,
,,81.43,
,,81.43,
,,81.44,
,,81.44,
,,81.44,
,,81.44,
,,81.45,
,,81.46,
,,81.46,
,,81.47,
,,81.47,
,,81.48,
,,81.48,
,,81.48,
,,81.48,
,,81.48,
,,81.49,
,,81.49,
,,81.5,
,,81.51,
,,81.51,
,,81.51,
,,81.51,
,,81.51,
,,81.53,
,,81.53,
,,81.54,
,,81.55,
,,81.55,
,,81.56,
,,81.56,
,,81.56,
,,81.57,
,,81.57,
,,81.57,
,,81.58,
,,81.58,
,,81.58,
,,81.58,
,,81.58,
,,81.59,
,,81.59,
,,81.6,
,,81.61,
,,81.61,
,,81.63,
,,81.63,
,,81.63,
,,81.63,
,,81.65,
,,81.65,
,,81.65,
,,81.65,
,,81.65,
,,81.65,
,,81.65,
,,81.66,
,,81.66,
,,81.66,
,,81.66,
,,81.67,
,,81.67,
,,81.67,
,,81.68,
,,81.68,
,,81.68,
,,81.7,
,,81.7,
,,81.71,
,,81.71,
,,81.72,
,,81.72,
,,81.72,
,,81.72,
,,81.72,
,,81.73,
,,81.73,
,,81.73,
,,81.73,
,,81.74,
,,81.74,
,,81.75,
,,81.75,
,,81.75,
,,81.75,
,,81.77,
,,81.77,
,,81.78,
,,81.78,
,,81.78,
,,81.78,
,,81.8,
,,81.8,
,,81.8,
,,81.8,
,,81.81,
,,81.82,
,,81.82,
,,81.82,
,,81.82,
,,81.83,
,,81.83,
,,81.84,
,,81.84,
,,81.84,
,,81.85,
,,81.86,
,,81.86,
,,81.86,
,,81.86,
,,81.87,
,,81.87,
,,81.87,
,,81.87,
,,81.88,
,,81.88,
,,81.88,
,,81.88,
,,81.88,
,,81.89,
,,81.9,
,,81.9,
,,81.91,
,,81.91,
,,81.91,
,,81.92,
,,81.92,
,,81.94,
,,81.94,
,,81.94,
,,81.95,
,,81.95,
,,81.95,
,,81.95,
,,81.96,
,,81.96,
,,81.96,
,,81.97,
,,81.97,
,,81.97,
,,81.97,
,,81.97,
,,81.97,
,,81.97,
,,81.99,
,,81.99,
,,81.99,
,,82,
,,82,
,,82,
,,82.01,
,,82.02,
,,82.02,
,,82.02,
,,82.02,
,,82.03,
,,82.03,
,,82.04,
,,82.04,
,,82.04,
,,82.05,
,,82.05,
,,82.05,
,,82.05,
,,82.06,
,,82.07,
,,82.07,
,,82.08,
,,82.08,
,,82.08,
,,82.08,
,,82.08,
,,82.09,
,,82.1,
,,82.1,
,,82.1,
,,82.11,
,,82.11,
,,82.11,
,,82.12,
,,82.12,
,,82.13,
,,82.13,
,,82.13,
,,82.13,
,,82.13,
,,82.14,
,,82.14,
,,82.15,
,,82.15,
,,82.15,
,,82.15,
,,82.15,
,,82.16,
,,82.16,
,,82.16,
,,82.16,
,,82.16,
,,82.17,
,,82.17,
,,82.17,
,,82.18,
,,82.19,
,,82.2,
,,82.2,
,,82.2,
,,82.2,
,,82.2,
,,82.22,
,,82.23,
,,82.23,
,,82.24,
,,82.24,
,,82.25,
,,82.25,
,,82.25,
,,82.26,
,,82.26,
,,82.26,
,,82.27,
,,82.27,
,,82.27,
,,82.27,
,,82.27,
,,82.28,
,,82.28,
,,82.28,
,,82.3,
,,82.3,
,,82.31,
,,82.31,
,,82.31,
,,82.32,
,,82.32,
,,82.32,
,,82.33,
,,82.33,
,,82.34,
,,82.34,
,,82.35,
,,82.36,
,,82.36,
,,82.37,
,,82.37,
,,82.37,
,,82.38,
,,82.38,
,,82.38,
,,82.39,
,,82.39,
,,82.4,
,,82.4,
,,82.41,
,,82.41,
,,82.42,
,,82.42,
,,82.42,
,,82.42,
,,82.43,
,,82.43,
,,82.44,
,,82.44,
,,82.44,
,,82.45,
,,82.45,
,,82.45,
,,82.46,
,,82.47,
,,82.48,
,,82.49,
,,82.49,
,,82.49,
,,82.5,
,,82.5,
,,82.5,
,,82.5,
,,82.5,
,,82.51,
,,82.51,
,,82.51,
,,82.52,
,,82.52,
,,82.52,
,,82.53,
,,82.53,
,,82.53,
,,82.53,
,,82.54,
,,82.54,
,,82.54,
,,82.55,
,,82.55,
,,82.56,
,,82.56,
,,82.58,
,,82.58,
,,82.58,
,,82.59,
,,82.59,
,,82.59,
,,82.6,
,,82.6,
,,82.61,
,,82.62,
,,82.62,
,,82.63,
,,82.63,
,,82.63,
,,82.64,
,,82.64,
,,82.65,
,,82.66,
,,82.69,
,,82.7,
,,82.7,
,,82.7,
,,82.7,
,,82.7,
,,82.7,
,,82.7,
,,82.71,
,,82.71,
,,82.71,
,,82.71,
,,82.72,
,,82.72,
,,82.72,
,,82.73,
,,82.73,
,,82.73,
,,82.74,
,,82.74,
,,82.74,
,,82.74,
,,82.74,
,,82.75,
,,82.75,
,,82.75,
,,82.76,
,,82.76,
,,82.76,
,,82.77,
,,82.77,
,,82.78,
,,82.78,
,,82.79,
,,82.8,
,,82.8,
,,82.81,
,,82.81,
,,82.81,
,,82.81,
,,82.81,
,,82.82,
,,82.82,
,,82.83,
,,82.83,
,,82.83,
,,82.83,
,,82.84,
,,82.84,
,,82.84,
,,82.85,
,,82.85,
,,82.85,
,,82.86,
,,82.86,
,,82.86,
,,82.86,
,,82.86,
,,82.87,
,,82.87,
,,82.87,
,,82.87,
,,82.87,
,,82.88,
,,82.89,
,,82.89,
,,82.89,
,,82.89,
,,82.9,
,,82.9,
,,82.9,
,,82.9,
,,82.91,
,,82.91,
,,82.92,
,,82.92,
,,82.92,
,,82.92,
,,82.93,
,,82.93,
,,82.93,
,,82.93,
,,82.94,
,,82.94,
,,82.95,
,,82.95,
,,82.96,
,,82.96,
,,82.96,
,,82.97,
,,82.97,
,,82.98,
,,82.98,
,,82.98,
,,82.99,
,,82.99,
,,82.99,
,,82.99,
,,83,
,,83,
,,83,
,,83.01,
,,83.01,
,,83.01,
,,83.01,
,,83.01,
,,83.02,
,,83.02,
,,83.03,
,,83.04,
,,83.04,
,,83.04,
,,83.05,
,,83.05,
,,83.06,
,,83.06,
,,83.07,
,,83.07,
,,83.07,
,,83.07,
,,83.08,
,,83.08,
,,83.08,
,,83.09,
,,83.09,
,,83.09,
,,83.09,
,,83.11,
,,83.11,
,,83.12,
,,83.12,
,,83.12,
,,83.12,
,,83.13,
,,83.13,
,,83.13,
,,83.14,
,,83.14,
,,83.15,
,,83.15,
,,83.15,
,,83.16,
,,83.16,
,,83.16,
,,83.16,
,,83.17,
,,83.17,
,,83.17,
,,83.17,
,,83.17,
,,83.18,
,,83.18,
,,83.18,
,,83.19,
,,83.19,
,,83.2,
,,83.2,
,,83.21,
,,83.21,
,,83.21,
,,83.21,
,,83.22,
,,83.22,
,,83.23,
,,83.24,
,,83.25,
,,83.25,
,,83.26,
,,83.26,
,,83.26,
,,83.26,
,,83.26,
,,83.28,
,,83.28,
,,83.28,
,,83.28,
,,83.28,
,,83.28,
,,83.29,
,,83.29,
,,83.29,
,,83.29,
,,83.29,
,,83.3,
,,83.3,
,,83.3,
,,83.31,
,,83.31,
,,83.31,
,,83.32,
,,83.32,
,,83.32,
,,83.32,
,,83.33,
,,83.33,
,,83.33,
,,83.34,
,,83.34,
,,83.34,
,,83.35,
,,83.35,
,,83.35,
,,83.35,
,,83.35,
,,83.36,
,,83.36,
,,83.36,
,,83.37,
,,83.38,
,,83.38,
,,83.38,
,,83.38,
,,83.39,
,,83.39,
,,83.4,
,,83.41,
,,83.41,
,,83.41,
,,83.42,
,,83.43,
,,83.43,
,,83.44,
,,83.44,
,,83.44,
,,83.44,
,,83.45,
,,83.45,
,,83.46,
,,83.46,
,,83.46,
,,83.46,
,,83.46,
,,83.46,
,,83.47,
,,83.47,
,,83.47,
,,83.48,
,,83.48,
,,83.49,
,,83.49,
,,83.5,
,,83.5,
,,83.5,
,,83.51,
,,83.51,
,,83.51,
,,83.51,
,,83.52,
,,83.52,
,,83.52,
,,83.53,
,,83.54,
,,83.54,
,,83.55,
,,83.55,
,,83.55,
,,83.55,
,,83.56,
,,83.56,
,,83.56,
,,83.57,
,,83.57,
,,83.57,
,,83.58,
,,83.58,
,,83.59,
,,83.6,
,,83.6,
,,83.6,
,,83.6,
,,83.62,
,,83.62,
,,83.62,
,,83.62,
,,83.63,
,,83.63,
,,83.63,
,,83.64,
,,83.64,
,,83.64,
,,83.64,
,,83.65,
,,83.65,
,,83.65,
,,83.66,
,,83.66,
,,83.67,
,,83.67,
,,83.67,
,,83.67,
,,83.68,
,,83.68,
,,83.68,
,,83.69,
,,83.69,
,,83.69,
,,83.7,
,,83.7,
,,83.7,
,,83.71,
,,83.72,
,,83.72,
,,83.72,
,,83.72,
,,83.72,
,,83.72,
,,83.73,
,,83.73,
,,83.73,
,,83.73,
,,83.74,
,,83.74,
,,83.74,
,,83.74,
,,83.74,
,,83.74,
,,83.75,
,,83.75,
,,83.76,
,,83.76,
,,83.76,
,,83.77,
,,83.77,
,,83.77,
,,83.77,
,,83.78,
,,83.78,
,,83.78,
,,83.79,
,,83.8,
,,83.8,
,,83.81,
,,83.81,
,,83.81,
,,83.81,
,,83.81,
,,83.81,
,,83.81,
,,83.82,
,,83.82,
,,83.82,
,,83.83,
,,83.83,
,,83.83,
,,83.84,
,,83.84,
,,83.84,
,,83.84,
,,83.84,
,,83.85,
,,83.86,
,,83.86,
,,83.87,
,,83.87,
,,83.88,
,,83.88,
,,83.88,
,,83.88,
,,83.88,
,,83.89,
,,83.89,
,,83.89,
,,83.89,
,,83.89,
,,83.89,
,,83.9,
,,83.9,
,,83.9,
,,83.9,
,,83.9,
,,83.91,
,,83.91,
,,83.91,
,,83.92,
,,83.92,
,,83.92,
,,83.92,
,,83.93,
,,83.93,
,,83.93,
,,83.94,
,,83.94,
,,83.94,
,,83.94,
,,83.94,
,,83.94,
,,83.95,
,,83.95,
,,83.96,
,,83.96,
,,83.96,
,,83.96,
,,83.96,
,,83.96,
,,83.96,
,,83.97,
,,83.97,
,,83.97,
,,83.97,
,,83.98,
,,83.98,
,,83.98,
,,83.98,
,,83.98,
,,83.99,
,,83.99,
,,83.99,
,,84,
,,84.01,
,,84.01,
,,84.02,
,,84.03,
,,84.03,
,,84.03,
,,84.04,
,,84.04,
,,84.05,
,,84.05,
,,84.06,
,,84.06,
,,84.06,
,,84.06,
,,84.06,
,,84.07,
,,84.07,
,,84.07,
,,84.08,
,,84.09,
,,84.1,
,,84.1,
,,84.1,
,,84.11,
,,84.11,
,,84.12,
,,84.12,
,,84.12,
,,84.12,
,,84.12,
,,84.13,
,,84.13,
,,84.14,
,,84.15,
,,84.15,
,,84.15,
,,84.16,
,,84.16,
,,84.16,
,,84.17,
,,84.17,
,,84.18,
,,84.18,
,,84.18,
,,84.19,
,,84.19,
,,84.19,
,,84.2,
,,84.2,
,,84.2,
,,84.2,
,,84.21,
,,84.21,
,,84.21,
,,84.22,
,,84.22,
,,84.22,
,,84.22,
,,84.22,
,,84.22,
,,84.22,
,,84.22,
,,84.24,
,,84.24,
,,84.25,
,,84.25,
,,84.25,
,,84.26,
,,84.26,
,,84.26,
,,84.26,
,,84.27,
,,84.27,
,,84.27,
,,84.27,
,,84.28,
,,84.28,
,,84.28,
,,84.28,
,,84.28,
,,84.29,
,,84.29,
,,84.29,
,,84.3,
,,84.3,
,,84.31,
,,84.31,
,,84.32,
,,84.32,
,,84.33,
,,84.33,
,,84.33,
,,84.33,
,,84.33,
,,84.33,
,,84.34,
,,84.34,
,,84.34,
,,84.34,
,,84.36,
,,84.36,
,,84.36,
,,84.36,
,,84.36,
,,84.36,
,,84.37,
,,84.37,
,,84.37,
,,84.37,
,,84.38,
,,84.38,
,,84.38,
,,84.38,
,,84.38,
,,84.39,
,,84.39,
,,84.39,
,,84.39,
,,84.4,
,,84.41,
,,84.41,
,,84.41,
,,84.41,
,,84.41,
,,84.42,
,,84.42,
,,84.43,
,,84.43,
,,84.43,
,,84.43,
,,84.44,
,,84.44,
,,84.44,
,,84.44,
,,84.46,
,,84.46,
,,84.46,
,,84.47,
,,84.47,
,,84.47,
,,84.47,
,,84.47,
,,84.47,
,,84.47,
,,84.47,
,,84.48,
,,84.48,
,,84.48,
,,84.49,
,,84.49,
,,84.5,
,,84.5,
,,84.51,
,,84.51,
,,84.51,
,,84.51,
,,84.52,
,,84.52,
,,84.52,
,,84.52,
,,84.52,
,,84.52,
,,84.53,
,,84.53,
,,84.53,
,,84.53,
,,84.53,
,,84.53,
,,84.53,
,,84.53,
,,84.54,
,,84.54,
,,84.54,
,,84.54,
,,84.55,
,,84.55,
,,84.55,
,,84.56,
,,84.57,
,,84.57,
,,84.57,
,,84.57,
,,84.57,
,,84.58,
,,84.58,
,,84.58,
,,84.59,
,,84.59,
,,84.59,
,,84.6,
,,84.6,
,,84.6,
,,84.6,
,,84.61,
,,84.61,
,,84.61,
,,84.61,
,,84.61,
,,84.62,
,,84.62,
,,84.62,
,,84.62,
,,84.63,
,,84.63,
,,84.64,
,,84.65,
,,84.65,
,,84.65,
,,84.65,
,,84.66,
,,84.66,
,,84.67,
,,84.68,
,,84.68,
,,84.68,
,,84.68,
,,84.68,
,,84.69,
,,84.7,
,,84.7,
,,84.71,
,,84.71,
,,84.71,
,,84.71,
,,84.71,
,,84.71,
,,84.71,
,,84.71,
,,84.72,
,,84.72,
,,84.72,
,,84.72,
,,84.72,
,,84.73,
,,84.73,
,,84.73,
,,84.73,
,,84.73,
,,84.74,
,,84.74,
,,84.74,
,,84.74,
,,84.75,
,,84.75,
,,84.75,
,,84.75,
,,84.75,
,,84.76,
,,84.77,
,,84.77,
,,84.78,
,,84.79,
,,84.79,
,,84.79,
,,84.79,
,,84.8,
,,84.8,
,,84.81,
,,84.82,
,,84.82,
,,84.83,
,,84.83,
,,84.83,
,,84.83,
,,84.84,
,,84.84,
,,84.84,
,,84.84,
,,84.85,
,,84.85,
,,84.86,
,,84.86,
,,84.86,
,,84.86,
,,84.87,
,,84.88,
,,84.88,
,,84.89,
,,84.89,
,,84.89,
,,84.9,
,,84.9,
,,84.91,
,,84.91,
,,84.91,
,,84.91,
,,84.91,
,,84.92,
,,84.92,
,,84.93,
,,84.93,
,,84.93,
,,84.94,
,,84.95,
,,84.95,
,,84.95,
,,84.96,
,,84.96,
,,84.96,
,,84.97,
,,84.97,
,,84.98,
,,84.99,
,,84.99,
,,85,
,,85,
,,85.01,
,,85.02,
,,85.02,
,,85.02,
,,85.03,
,,85.03,
,,85.03,
,,85.03,
,,85.04,
,,85.04,
,,85.05,
,,85.05,
,,85.05,
,,85.06,
,,85.06,
,,85.07,
,,85.07,
,,85.07,
,,85.07,
,,85.08,
,,85.08,
,,85.08,
,,85.08,
,,85.09,
,,85.09,
,,85.1,
,,85.1,
,,85.1,
,,85.1,
,,85.1,
,,85.1,
,,85.11,
,,85.11,
,,85.12,
,,85.12,
,,85.13,
,,85.13,
,,85.13,
,,85.13,
,,85.13,
,,85.13,
,,85.14,
,,85.14,
,,85.14,
,,85.14,
,,85.14,
,,85.14,
,,85.15,
,,85.15,
,,85.15,
,,85.15,
,,85.15,
,,85.15,
,,85.16,
,,85.16,
,,85.16,
,,85.16,
,,85.16,
,,85.16,
,,85.17,
,,85.17,
,,85.17,
,,85.18,
,,85.18,
,,85.19,
,,85.19,
,,85.2,
,,85.2,
,,85.21,
,,85.21,
,,85.22,
,,85.22,
,,85.22,
,,85.22,
,,85.22,
,,85.22,
,,85.23,
,,85.23,
,,85.23,
,,85.23,
,,85.24,
,,85.24,
,,85.24,
,,85.24,
,,85.25,
,,85.26,
,,85.27,
,,85.27,
,,85.27,
,,85.28,
,,85.28,
,,85.28,
,,85.28,
,,85.28,
,,85.29,
,,85.29,
,,85.29,
,,85.29,
,,85.29,
,,85.3,
,,85.3,
,,85.31,
,,85.31,
,,85.33,
,,85.33,
,,85.33,
,,85.34,
,,85.34,
,,85.34,
,,85.34,
,,85.34,
,,85.35,
,,85.35,
,,85.35,
,,85.35,
,,85.36,
,,85.36,
,,85.36,
,,85.37,
,,85.37,
,,85.37,
,,85.38,
,,85.38,
,,85.38,
,,85.38,
,,85.38,
,,85.39,
,,85.39,
,,85.39,
,,85.4,
,,85.4,
,,85.4,
,,85.4,
,,85.4,
,,85.4,
,,85.4,
,,85.41,
,,85.41,
,,85.41,
,,85.41,
,,85.41,
,,85.42,
,,85.42,
,,85.43,
,,85.43,
,,85.44,
,,85.44,
,,85.44,
,,85.44,
,,85.44,
,,85.45,
,,85.45,
,,85.45,
,,85.46,
,,85.46,
,,85.46,
,,85.46,
,,85.46,
,,85.47,
,,85.47,
,,85.47,
,,85.47,
,,85.47,
,,85.47,
,,85.47,
,,85.48,
,,85.48,
,,85.48,
,,85.49,
,,85.49,
,,85.5,
,,85.5,
,,85.5,
,,85.51,
,,85.51,
,,85.51,
,,85.51,
,,85.51,
,,85.52,
,,85.53,
,,85.53,
,,85.53,
,,85.53,
,,85.54,
,,85.54,
,,85.55,
,,85.55,
,,85.55,
,,85.56,
,,85.57,
,,85.57,
,,85.58,
,,85.58,
,,85.59,
,,85.59,
,,85.59,
,,85.59,
,,85.59,
,,85.59,
,,85.6,
